Y:\final\IMG\center_2026_04_25_04_36_25_628.jpg, Y:\final\IMG\left_2026_04_25_04_36_25_628.jpg, Y:\final\IMG\right_2026_04_25_04_36_25_628.jpg, 0, 0, 0, 7.854222E-05
Y:\final\IMG\center_2026_04_25_04_36_25_741.jpg, Y:\final\IMG\left_2026_04_25_04_36_25_741.jpg, Y:\final\IMG\right_2026_04_25_04_36_25_741.jpg, 0, 0, 0, 8.383265E-05
Y:\final\IMG\center_2026_04_25_04_36_25_846.jpg, Y:\final\IMG\left_2026_04_25_04_36_25_846.jpg, Y:\final\IMG\right_2026_04_25_04_36_25_846.jpg, 0, 0, 0, 7.798724E-05
Y:\final\IMG\center_2026_04_25_04_36_25_949.jpg, Y:\final\IMG\left_2026_04_25_04_36_25_949.jpg, Y:\final\IMG\right_2026_04_25_04_36_25_949.jpg, 0, 0, 0, 8.049948E-05
Y:\final\IMG\center_2026_04_25_04_36_26_060.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_060.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_060.jpg, 0, 0, 0, 7.774634E-05
Y:\final\IMG\center_2026_04_25_04_36_26_167.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_167.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_167.jpg, 0, 0, 0, 7.877396E-05
Y:\final\IMG\center_2026_04_25_04_36_26_266.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_266.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_266.jpg, 0, 0, 0, 7.831496E-05
Y:\final\IMG\center_2026_04_25_04_36_26_367.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_367.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_367.jpg, 0, 0, 0, 7.783783E-05
Y:\final\IMG\center_2026_04_25_04_36_26_473.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_473.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_473.jpg, 0, 0, 0, 7.858614E-05
Y:\final\IMG\center_2026_04_25_04_36_26_579.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_579.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_579.jpg, 0, 0.1341828, 0, 0.04771649
Y:\final\IMG\center_2026_04_25_04_36_26_681.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_681.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_681.jpg, 0, 0.485595, 0, 0.53231
Y:\final\IMG\center_2026_04_25_04_36_26_787.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_787.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_787.jpg, 0, 0.8009646, 0, 1.354658
Y:\final\IMG\center_2026_04_25_04_36_26_893.jpg, Y:\final\IMG\left_2026_04_25_04_36_26_893.jpg, Y:\final\IMG\right_2026_04_25_04_36_26_893.jpg, 0, 1, 0, 2.508551
Y:\final\IMG\center_2026_04_25_04_36_27_000.jpg, Y:\final\IMG\left_2026_04_25_04_36_27_000.jpg, Y:\final\IMG\right_2026_04_25_04_36_27_000.jpg, -0.1006092, 1, 0, 3.91643
